Total Cases,Total Deaths,Total Recovered,Active Cases,Critical Cases,Total Tests,Population,Country,Cluster Membership
3893949.0,143263.0,1802110.0,1948576.0,16616.0,48324182.0,331097557.0,USA,2
2098389.0,79488.0,1371229.0,647672.0,8318.0,4911063.0,212632374.0,Brazil,2
1118107.0,27503.0,700399.0,390205.0,8944.0,13791869.0,1380641231.0,India,0
771546.0,12342.0,550344.0,208860.0,2300.0,24991740.0,145937686.0,Russia,0
364328.0,5033.0,191059.0,168236.0,539.0,2471747.0,59342751.0,South Africa,0
353590.0,13187.0,241955.0,98448.0,1293.0,2063240.0,32992469.0,Peru,2
338913.0,38888.0,213006.0,87019.0,378.0,814653.0,128995882.0,Mexico,1
330930.0,8503.0,301794.0,20633.0,1764.0,1404047.0,19124005.0,Chile,2
307335.0,28420.0,150000.0,81957.0,617.0,6026446.0,46755711.0,Spain,1
294792.0,45300.0,344.0,249148.0,142.0,13293523.0,67903554.0,UK,1
273788.0,14188.0,237788.0,21812.0,3556.0,2148999.0,84041815.0,Iran,0
263496.0,5568.0,204276.0,53652.0,1763.0,1721660.0,221072824.0,Pakistan,0
250920.0,2486.0,197735.0,50699.0,2180.0,2670926.0,34837754.0,Saudi Arabia,2
244434.0,35045.0,196949.0,12440.0,49.0,6238049.0,60457165.0,Italy,1
219641.0,5491.0,202010.0,12140.0,1246.0,4273377.0,84381245.0,Turkey,0
204525.0,2618.0,111642.0,90265.0,1.0,1028299.0,164766291.0,Bangladesh,0
202845.0,9163.0,187800.0,5882.0,249.0,6884614.0,83797389.0,Germany,0
197278.0,6736.0,91793.0,98749.0,1040.0,1210063.0,50908124.0,Colombia,0
174674.0,30152.0,79233.0,65289.0,477.0,2618722.0,65280829.0,France,1
126755.0,2260.0,54105.0,70390.0,752.0,541238.0,45215376.0,Argentina,0
110338.0,8852.0,97026.0,4460.0,2177.0,3520466.0,37757861.0,Canada,0
106648.0,157.0,103377.0,3114.0,128.0,441700.0,2807805.0,Qatar,2
92530.0,3781.0,60528.0,28221.0,397.0,793024.0,40259056.0,Iraq,0
87775.0,4302.0,28380.0,55093.0,41.0,135000.0,102416176.0,Egypt,0
86521.0,4143.0,45401.0,36977.0,0.0,1221518.0,273658307.0,Indonesia,0
83660.0,4634.0,78775.0,251.0,3.0,90410000.0,1439323776.0,China,0
77281.0,5619.0,8297.0,63365.0,56.0,681820.0,10102333.0,Sweden,1
74013.0,5313.0,31901.0,36799.0,342.0,204162.0,17654908.0,Ecuador,1
70339.0,375.0,43029.0,26935.0,221.0,1777280.0,18787010.0,Kazakhstan,0
67456.0,1831.0,22465.0,43160.0,351.0,1142165.0,109646997.0,Philippines,0
66661.0,318.0,44004.0,22339.0,165.0,270788.0,5111683.0,Oman,2
66095.0,499.0,58204.0,7392.0,89.0,1193162.0,9449162.0,Belarus,0
63706.0,9800.0,17289.0,36617.0,28.0,1444885.0,11592126.0,Belgium,1
59204.0,408.0,49687.0,9109.0,132.0,459349.0,4273378.0,Kuwait,2
58842.0,1485.0,30879.0,26478.0,93.0,877262.0,43719426.0,Ukraine,0
58138.0,2106.0,18200.0,37832.0,71.0,126510.0,11680191.0,Bolivia,0
56922.0,339.0,49269.0,7314.0,1.0,4508205.0,9895877.0,UAE,0
52855.0,981.0,25094.0,26780.0,245.0,213085.0,10853005.0,Dominican Republic,0
52261.0,1071.0,27494.0,23696.0,173.0,183261.0,4317753.0,Panama,2
51725.0,6136.0,250.0,45339.0,17.0,764079.0,17136793.0,Netherlands,1
50289.0,409.0,21675.0,28205.0,252.0,1457203.0,9197590.0,Israel,0
48636.0,1689.0,33369.0,13578.0,61.0,1413519.0,10195130.0,Portugal,0
47912.0,27.0,44086.0,3799.0,0.0,1009532.0,5852547.0,Singapore,0
40104.0,1624.0,30292.0,8188.0,67.0,1936889.0,37844445.0,Poland,0
38667.0,1485.0,23365.0,13817.0,5.0,64590.0,17929670.0,Guatemala,0
37458.0,2026.0,22617.0,12815.0,286.0,958622.0,19230649.0,Romania,0
36663.0,789.0,15105.0,20769.0,7.0,212201.0,206340267.0,Nigeria,0
36422.0,126.0,32372.0,3924.0,46.0,726140.0,1703581.0,Bahrain,2
35475.0,1181.0,23634.0,10660.0,31.0,83771.0,38963823.0,Afghanistan,0
34877.0,641.0,23294.0,10942.0,10.0,146717.0,2963525.0,Armenia,2
33591.0,1969.0,30300.0,1322.0,22.0,726806.0,8657672.0,Switzerland,0
32793.0,891.0,3661.0,28241.0,51.0,78825.0,9911520.0,Honduras,0
27667.0,148.0,23249.0,4270.0,8.0,346990.0,31099744.0,Ghana,0
27521.0,354.0,18967.0,8200.0,66.0,627881.0,10143504.0,Azerbaijan,0
26532.0,1003.0,12328.0,13201.0,24.0,262894.0,6528886.0,Kyrgyzstan,0
25760.0,1753.0,23364.0,643.0,8.0,550728.0,4940338.0,Ireland,1
24642.0,985.0,19576.0,4081.0,43.0,634997.0,126455870.0,Japan,0
20980.0,684.0,14376.0,5920.0,362.0,128076.0,4033468.0,Moldova,2
20894.0,472.0,14047.0,6375.0,187.0,550091.0,8735483.0,Serbia,0
19655.0,711.0,17599.0,1345.0,14.0,748669.0,9008915.0,Austria,0
17658.0,40.0,11695.0,5923.0,0.0,627972.0,29159246.0,Nepal,0
17236.0,273.0,14921.0,2042.0,31.0,1009326.0,36930654.0,Morocco,0
16607.0,85.0,9178.0,7344.0,70.0,1377915.0,33490836.0,Uzbekistan,0
16157.0,373.0,13728.0,2056.0,52.0,135000.0,26571780.0,Cameroon,0
14119.0,92.0,8366.0,5661.0,0.0,83753.0,26403938.0,Ivory Coast,0
13945.0,359.0,8761.0,4825.0,19.0,624780.0,10709991.0,Czechia,0
13745.0,295.0,12556.0,894.0,15.0,1465299.0,51271449.0,S. Korea,0
13353.0,234.0,5122.0,7997.0,44.0,243887.0,53819531.0,Kenya,0
13173.0,611.0,12209.0,353.0,5.0,1306743.0,5793223.0,Denmark,0
11891.0,112.0,3972.0,7807.0,17.0,1426989.0,28431664.0,Venezuela,0
11846.0,335.0,6705.0,4806.0,414.0,209446.0,6487818.0,El Salvador,0
11802.0,122.0,8273.0,3407.0,29.0,3473457.0,25513510.0,Australia,0
11114.0,62.0,2966.0,8086.0,44.0,65819.0,5096318.0,Costa Rica,0
10992.0,693.0,5707.0,4592.0,0.0,401.0,43890246.0,Sudan,0
9503.0,167.0,2430.0,6906.0,35.0,250604.0,115075460.0,Ethiopia,0
9153.0,422.0,4810.0,3921.0,55.0,85820.0,2083370.0,North Macedonia,0
9028.0,255.0,8138.0,635.0,1.0,397106.0,5423273.0,Norway,0
8810.0,167.0,5948.0,2695.0,35.0,96654.0,16760892.0,Senegal,0
8779.0,123.0,8553.0,103.0,2.0,889744.0,32384845.0,Malaysia,0
8733.0,300.0,4106.0,4327.0,34.0,206521.0,6945554.0,Bulgaria,0
8549.0,62.0,1921.0,6566.0,0.0,155355.0,5106168.0,Palestine,0
8340.0,249.0,3669.0,4422.0,0.0,120388.0,3279703.0,Bosnia and Herzegovina,0
7335.0,328.0,6880.0,127.0,1.0,306192.0,5541159.0,Finland,0
7053.0,146.0,3877.0,3030.0,0.0,15645.0,11408889.0,Haiti,0
7049.0,59.0,3498.0,3492.0,97.0,32851.0,27718632.0,Madagascar,0
6655.0,37.0,4272.0,2346.0,23.0,13337.0,298981.0,French Guiana,2
6544.0,39.0,5511.0,994.0,24.0,14407.0,13146345.0,Guinea,0
6315.0,46.0,3865.0,2404.0,11.0,57095.0,2227830.0,Gabon,0
5873.0,155.0,3436.0,2282.0,8.0,13842.0,4654361.0,Mauritania,0
5605.0,111.0,4333.0,1161.0,4.0,344744.0,626423.0,Luxembourg,0
5011.0,56.0,4838.0,117.0,0.0,53687.0,988640.0,Djibouti,0
4485.0,55.0,1348.0,3082.0,2.0,28211.0,4833388.0,CAR,0
4345.0,120.0,3018.0,1207.0,9.0,103104.0,4103884.0,Croatia,0
4333.0,596.0,3223.0,514.0,3.0,307846.0,9659052.0,Hungary,0
4090.0,112.0,2311.0,1667.0,17.0,31383.0,2877633.0,Albania,0
4007.0,194.0,1374.0,2439.0,13.0,410766.0,10420303.0,Greece,0
3721.0,31.0,1918.0,1772.0,10.0,105122.0,7136543.0,Paraguay,0
3249.0,58.0,3096.0,95.0,1.0,603657.0,69808827.0,Thailand,0
3071.0,51.0,842.0,2178.0,0.0,16000.0,1404596.0,Equatorial Guinea,0
2980.0,120.0,1462.0,1398.0,19.0,69296.0,18403298.0,Zambia,0
2966.0,15.0,2362.0,589.0,12.0,67264.0,540953.0,Maldives,0
2907.0,59.0,1135.0,1713.0,4.0,23230.0,19149092.0,Malawi,0
2859.0,40.0,1515.0,1304.0,12.0,209912.0,6823799.0,Lebanon,0
2782.0,37.0,2591.0,154.0,3.0,13000.0,273076.0,Mayotte,0
2724.0,11.0,2035.0,678.0,1.0,135519.0,21417712.0,Sri Lanka,0
2475.0,121.0,1828.0,526.0,0.0,19946.0,20272498.0,Mali,0
2446.0,87.0,2308.0,51.0,0.0,226443.0,11326256.0,Cuba,0
2200.0,43.0,1175.0,982.0,0.0,12044.0,11199761.0,South Sudan,0
2188.0,32.0,385.0,1771.0,7.0,29632.0,628070.0,Montenegro,0
2045.0,21.0,973.0,1051.0,0.0,41634.0,556267.0,Cabo Verde,0
2021.0,69.0,1912.0,40.0,1.0,114437.0,1326581.0,Estonia,0
1979.0,28.0,1530.0,421.0,2.0,240205.0,5459778.0,Slovakia,0
1949.0,26.0,803.0,1120.0,5.0,1500.0,1969856.0,Guinea-Bissau,0
1946.0,112.0,1568.0,266.0,2.0,121904.0,2078953.0,Slovenia,0
1932.0,80.0,1600.0,252.0,6.0,481553.0,2720078.0,Lithuania,0
1930.0,10.0,1907.0,13.0,0.0,113204.0,341351.0,Iceland,0
1886.0,12.0,1294.0,580.0,19.0,442256.0,7499888.0,Hong Kong,0
1866.0,48.0,418.0,1400.0,0.0,40135.0,6875501.0,Libya,0
1793.0,21.0,822.0,950.0,5.0,17559.0,1160725.0,Eswatini,0
1611.0,25.0,472.0,1114.0,0.0,101375.0,14872566.0,Zimbabwe,0
1606.0,445.0,712.0,449.0,0.0,120.0,29852717.0,Yemen,1
1602.0,31.0,782.0,789.0,1.0,72832.0,12135436.0,Benin,0
1582.0,5.0,834.0,743.0,0.0,210236.0,12964828.0,Rwanda,0
1553.0,22.0,1506.0,25.0,0.0,442488.0,5002100.0,New Zealand,0
1491.0,10.0,472.0,1009.0,0.0,46556.0,31288328.0,Mozambique,0
1374.0,50.0,1097.0,227.0,0.0,83823.0,11824385.0,Tunisia,0
1247.0,3.0,35.0,1209.0,1.0,17694.0,2542872.0,Namibia,0
